AAPL,MSFT,AMZN,GOOG,GOOGL,TSLA,FB,BABA,TSM,V,JNJ,JPM,WMT,NVDA,PYPL,DIS,MA,PG,UNH,HD,BAC,INTC,ASML,NFLX,CMCSA,ADBE,ABT,TM,VZ,NKE,CRM,KO,XOM,NVS,T,TMO,CSCO,LLY,AVGO,PFE,MRK,ORCL,PEP,ABBV,SHOP,CVX,DHR,ACN,QCOM,TXN,NEE,MDT,MCD,COST,SAP,TMUS,HDB,UL,UNP,HON,UPS,SNE,WFC,AMGN,AZN,NVO,BMY,PM,LIN,C,JD,LOW,SBUX,BA,SQ,SNY,RY,CHTR,MS,NOW,AMD,INTU,HSBC,TOT,RTX,BLK,TD,IBM,CAT,AMAT,GS,EL,SCHW,BUD,^GSPC,Date
24.36453629,50.00674438,636.9899902,741.8400269,759.4400024,44.68199921,102.2200012,76.69000244,18.50257683,73.07035828,87.79920959,55.24343491,54.82660294,31.67233276,34.75,97.15578461,91.72644806,67.05548859,107.64254,116.6707077,14.8904829,29.53535461,82.59428406,109.9599991,25.24481201,91.97000122,38.76443481,117.4229584,36.34152222,58.14711761,76.70999908,35.99090958,60.13707733,64.34449768,25.43227577,136.6125031,22.47818756,73.24687195,120.9044037,24.86490631,45.15596008,32.95890045,85.24925995,45.65857315,25.71999931,71.63825226,46.17835999,93.09091187,42.11410141,47.24973297,22.77977562,68.25673676,103.3186874,141.6010742,71.717659,38.95000076,29.19916725,35.98788834,70.59983063,87.96889496,80.87075806,24.72999954,44.62352371,136.6635437,27.52146339,51.20302963,58.06290054,67.43103027,91.3791275,45.27387238,29.53000069,68.41265106,52.97035217,126.0050964,12.15999985,34.54633331,43.27156448,177.5299988,27.67616463,84.06999969,2.769999981,89.89360809,29.18252373,32.99588013,53.21422195,292.7472839,31.31481934,107.9167557,58.21300888,17.16879845,162.5705261,82.46408844,30.0085659,106.5322647,2012.660034,04-01-2016
23.75397682,50.23487854,633.789978,742.5800171,761.5300293,44.68600082,102.7300034,78.62999725,18.38530922,73.62055206,88.16622162,55.33894348,56.12902832,32.18112564,34.31000137,95.19342804,91.90058899,67.26937103,107.8459091,116.1009903,14.8904829,29.39632988,81.76170349,107.6600037,25.24934769,92.33999634,38.7553978,117.1135864,36.84065247,58.95996475,77.05000305,36.11823654,60.64949417,64.68967438,25.609972,136.3761749,22.37605095,74.34286499,116.8595581,25.04390335,45.73246002,32.85749054,85.83614349,45.46834946,25.30999947,72.25101471,46.26397705,93.57541656,41.2906456,46.75411606,23.0019207,68.45492554,104.7422104,141.9472046,71.55961609,40.22000122,29.51135445,35.90259171,69.92036438,88.68932343,81.6723175,25.46999931,44.60666275,136.5167999,27.93346024,51.81067657,59.20632172,68.10533142,91.06455994,45.03479385,30,68.55805969,53.32494736,126.5162964,11.51000023,34.58726883,42.99905777,175.1699982,27.50032616,84,2.75,91.38897705,29.11446381,32.28940964,53.29775238,293.5030823,31.07118797,107.8374023,57.6051178,17.18738747,159.7713623,83.22055054,29.91473007,106.6018753,2016.709961,05-01-2016
23.28911591,49.32234573,632.6500244,743.6199951,759.3300171,43.80799866,102.9700012,77.33000183,17.87437439,72.6552887,87.72058868,54.54007721,56.69104767,30.85043335,33.97999954,94.68395233,90.49494171,66.61911774,106.7459869,114.8993149,14.57327747,28.74461746,80.04927063,117.6800003,25.05425644,91.01999664,38.430336,114.4453278,36.50782013,58.11875916,76.29000092,35.92301178,60.14485931,63.80422592,25.57243156,135.33255,22.13773727,73.87441254,113.2650146,24.60030174,45.10435104,33.0234375,85.86206055,45.4762764,25.29999924,69.39678955,45.72504044,93.39257813,40.8705101,46.44977188,22.92713547,68.64408112,104.0392532,140.633606,72.19180298,40.04999924,29.55525398,35.39092255,66.89861298,87.6858902,80.51262665,23.62999916,43.75483704,135.2653503,27.4720211,51.19409561,58.16686249,68.08983612,90.147789,44.37955093,29.76000023,67.19491577,52.85216904,124.5073929,11.52000046,34.21069717,41.98332596,174.3099976,26.81458092,81.41999817,2.50999999,91.71282196,28.10869026,31.71678734,51.85003281,290.1634827,30.37754631,107.2975998,56.69755173,16.48092651,155.8709106,80.45943451,28.89192581,104.583786,1990.26001,06-01-2016
22.30620766,47.60678864,607.9400024,726.3900146,741,43.13000107,97.91999817,72.72000122,17.67335129,71.22669983,86.69824982,52.3345108,58.01130676,29.62737846,33.13000107,93.87260437,88.83724213,66.03726959,103.6034164,111.6236038,14.04762459,27.66712952,78.04354095,114.5599976,24.77748299,89.11000061,37.50930786,111.7287292,36.30731583,56.56867218,74.30000305,35.3288269,59.18215561,62.98631668,25.15948868,132.2409058,21.62706375,71.95641327,109.6620178,24.43687439,44.70853806,32.30433273,84.21350861,45.34153366,24.67000008,66.93763733,44.55144119,90.65005493,38.76984787,44.95420456,23.02831268,67.03157806,101.6315918,137.4117889,71.78274536,40.50999832,28.7113781,34.83660126,65.33410645,85.10437012,78.96069336,23.27000046,42.50662994,132.0372772,26.48322296,50.0860405,56.55567932,67.62478638,87.89186859,42.11276627,27.95000076,65.49549103,51.54290771,119.2878036,11.15999985,33.78500748,41.18231583,173.6300049,25.47824669,79.63999939,2.279999971,90.23189545,27.51884079,30.9582634,51.17074203,277.4815674,29.69703102,105.4639435,54.7454071,15.99756145,151.0802765,78.79523468,27.38117599,103.9226837,1943.089966,07-01-2016
22.42415428,47.75279236,607.0499878,714.4699707,730.9099731,42.20000076,97.33000183,70.80000305,17.43044662,70.3483429,85.77202606,51.16226578,56.68211365,28.99138832,32.68999863,93.63674164,87.14074707,65.00197601,101.8195419,110.2883759,13.77573395,27.38038254,75.95265961,111.3899994,24.8047123,87.84999847,36.72372055,109.3021469,35.95442963,55.64240265,73.23000336,35.2354393,57.98656082,61.20042801,25.18201447,132.0931702,21.09085083,71.81498718,108.939743,24.12557793,43.95135117,31.94478035,83.90278625,44.10517502,24.93000031,66.22003937,44.57662964,89.77243042,38.55138397,43.7890358,23.13169098,66.46405029,101.4734116,135.0065002,71.49452972,39.88000107,28.53089523,34.49549103,66.03143311,84.41824341,77.92893219,23,41.79818344,130.0780945,26.17835045,48.9332962,55.1177597,67.20625305,87.94577789,40.84653854,27.62000084,64.41403198,51.48836136,116.5793915,11.31000042,33.07279587,40.86025238,174.8899994,24.95074844,78.12000275,2.140000105,88.9897995,27.33734894,30.19974899,50.33551788,270.4945679,29.56583977,104.4875641,54.18888474,15.60715199,150.4562225,78.31299591,27.21226692,101.8871994,1922.030029,08-01-2016
22.78725815,47.72541046,617.7399902,716.0300293,733.0700073,41.56999969,97.51000214,69.91999817,17.53096008,71.352211,85.25646973,51.08411026,57.28872299,29.04031181,33.04000092,94.26883698,87.80966949,65.600914,101.283432,111.9618301,13.87542725,27.85830116,77.87324524,114.9700012,24.8273983,89.37999725,36.7779007,110.993988,36.16295624,56.2851181,73.18000031,35.29486084,57.210186,61.2604599,25.48984909,132.802124,21.50790596,70.9487915,108.803772,24.18004799,44.09763336,32.21213531,84.10132599,42.7023735,23.87000084,65.12348175,44.55144119,90.71405029,38.71101761,44.52813721,23.2218647,65.76141357,102.5366364,137.3230591,73.03784943,39.68000031,29.00405121,34.69163132,66.8807373,84.4096756,78.15917969,23.36000061,42.24517441,127.4714966,25.98883247,48.72777176,54.55471039,69.11291504,88.47605896,41.48407364,27.03000069,66.04985046,52.57029724,116.7767105,11.84000015,32.74534225,40.84373474,175.6300049,25.0210743,78.52999878,2.339999914,89.81150818,27.54908562,30.34846878,50.39120102,270.9691467,29.59044075,105.7576294,52.63060379,15.50490189,152.0990448,78.36972046,26.96829605,103.6617279,1923.670044,11-01-2016
23.11797523,48.16342545,617.8900146,726.0700073,745.3400269,41.99399948,99.37000275,72.68000031,17.3801899,72.1630249,85.84191895,51.19700241,56.75348663,29.52953529,33.08000183,95.72174835,88.64335632,65.46401978,103.7605591,113.4839859,13.87542725,28.39704323,78.1949234,116.5800018,24.89545059,89.81999969,37.43707657,111.9800873,36.03463364,56.6537323,74.45999908,35.75324249,58.38250732,61.71068573,25.45230103,134.8598938,21.57599258,71.06370544,110.401329,24.12557793,44.5364418,32.60857391,84.25666809,43.46321869,23.73999977,66.23615265,44.60181808,92.34127808,39.08914566,44.80637741,23.17787933,68.86029053,103.1956711,138.5123138,74.71131897,40.06000137,29.21380234,35.3397522,68.18598938,85.05290985,79.30179596,22.85000038,43.31628036,130.1471252,26.12067032,49.53200531,54.95317459,69.05091858,89.77929688,41.51063156,28.20499992,66.58603668,54.061409,118.3102646,12.09000015,33.14647293,41.08321381,175.3200073,25.0210743,80.98999786,2.390000105,90.62361145,27.68521118,30.40053368,50.39120102,275.600769,30.11518097,105.4956741,52.74190521,15.56997204,152.080658,79.64627075,27.43747139,103.5138397,1938.680054,12-01-2016
22.52360535,47.12314987,581.8099976,700.5599976,719.5700073,40.06200027,95.44000244,70.29000092,17.15403938,70.5606842,84.77587891,49.79029083,55.23696518,28.62936401,32.11999893,92.91028595,86.4621582,64.89930725,100.9599686,108.0630035,13.50384331,27.72795486,75.69722748,106.5599976,24.29654503,88.30000305,36.60109711,111.1679993,35.40905762,55.55734253,72.34999847,35.52405167,58.73187256,60.8477478,25.33217812,131.7092438,20.9376564,70.09141541,104.7843628,23.6352787,43.58996964,31.41928101,83.29000092,40.98852921,21.37999916,65.57501984,43.57931519,90.74145508,38.73623657,43.3195076,23.01071739,67.24777985,101.1570663,135.0153809,72.91697693,38.84999847,29.06746674,34.86220169,66.0224762,83.27758789,77.26380157,22.48999977,41.94156265,125.5467911,25.91466904,48.370327,53.08213425,68.4463501,88.08958435,40.01420212,27.10000038,63.52345657,52.61576843,114.9022903,11.60999966,32.43425369,39.80324173,167.9900055,23.64078522,76.79000092,2.25,87.61398315,27.2012291,30.05844879,49.46132278,267.7086182,29.42645264,104.1223907,52.13400269,15.05871773,145.9133759,78.57776642,26.00179291,101.0260315,1890.280029,13-01-2016
23.01621628,48.46457672,593,714.7199707,731.3900146,41.23600006,98.37000275,72.25,18.2764225,71.2363739,86.40988922,50.53705978,56.25392914,28.05207825,32.86999893,93.50465393,87.9356842,65.1559906,102.3741302,106.478569,13.58541393,28.4491787,78.43144226,107.0599976,24.97711754,89.80000305,37.34619904,112.4247971,35.98651505,55.3021431,73.06999969,35.54951477,61.42584991,62.05585861,25.7526207,133.6980743,20.98872185,72.95519257,106.3819351,24.21118164,44.57086182,32.07384872,82.69445038,43.69546127,20.63999939,68.91301727,43.97722244,93.13660431,40.10587311,43.5021019,23.24606133,67.37391663,102.4751434,135.956192,74.11631012,39.38999939,28.64308739,35.06686783,67.42609406,84.68411255,77.72428131,22.29999924,42.70903397,132.192688,26.21130943,49.11201477,55.01380157,68.11306763,89.68942261,40.18244553,28.12000084,63.53252411,53.62498474,115.8708801,10.81999969,32.7780838,39.97665405,172.3099976,23.86936951,78.20999908,2.210000038,90.11721802,27.54152107,31.85809517,49.56155396,272.4456787,29.25427246,105.503624,53.31555176,15.62574005,148.1159515,79.69353485,26.38651657,101.8871994,1921.839966,14-01-2016
22.46347237,46.53000641,570.1799927,694.4500122,710.4899902,40.9980011,94.97000122,69.58999634,17.67335129,69.33480072,84.75839233,49.52980042,55.24588394,26.52569962,32.31000137,88.58932495,85.99685669,64.15491486,100.9969254,106.1314392,13.10507488,25.85973358,73.29413605,104.0400009,24.45081329,89.16999817,36.83735657,108.8574448,35.6336174,54.40423203,70.86000061,35.22695541,60.23023987,60.20243073,25.51987457,130.7147675,20.10354805,71.80614471,101.9461746,23.977705,44.00297165,31.4561615,81.07180786,45.92188263,19.88999939,67.46170044,42.90940857,90.75060272,38.50095749,41.76307297,23.15148354,66.59017944,101.2098007,133.4799194,71.49452972,37.79000092,27.43336487,34.18848038,66.25493622,83.41481018,76.77778625,21.44000053,41.1740799,130.5872803,25.20603371,47.46780014,54.38147354,66.88070679,87.532341,37.60574722,26.98999977,62.94857025,52.73396301,112.6691895,10.27000046,31.60743904,38.0773201,165.0800018,22.83195114,76.33999634,2.029999971,87.41333008,26.18789101,30.61618233,47.67954254,260.6514282,27.90962982,103.217453,51.90247726,14.94717121,142.8113556,77.86854553,25.35433006,101.26091,1880.329956,15-01-2016
