Date,Portfolio,SP500
2016-04-01,100000.4,100000.0
2016-05-01,99951.42160314816,100201.22260747392
2016-06-01,98580.82187750118,98887.04383146708
2016-07-01,96375.4938322733,96543.37708183458
2016-08-01,95605.3067416547,95497.00379254414
2016-11-01,95325.40717889671,95578.48874143243
2016-12-01,95728.08185693946,96324.26844324172
2016-01-13,92376.04085881283,93919.48948492909
2016-02-02,94182.94435678746,94552.97948247529
2016-03-02,94855.31206645977,95024.99163750971
2016-09-02,90642.56310554317,92027.9595018778
2016-10-02,90384.9183664002,92010.5707728283
2017-03-01,135505.05000084484,112181.39377035
2017-04-01,136894.7352301986,112823.32642572859
2017-05-01,138779.3234413957,112736.37681822226
2017-06-01,138662.41829941468,113132.86603474137
2017-09-01,139008.7687502829,112731.40340004387
2017-10-01,139370.53549824876,112731.40340004387
2017-11-01,139621.76690483338,113050.39249365848
2017-12-01,138815.66503267686,112807.92099238356
2017-01-13,138517.91237616338,113016.59766549527
2017-02-02,144537.35671564634,113325.1547439432
2017-07-02,146730.93488029673,113932.80729297773
2017-08-02,147418.19045686637,114011.79947114705
2018-02-01,196158.5525071585,133942.6437381128
2018-03-01,198953.83240442968,134799.71844067532
2018-04-01,201172.12568534378,135342.7774181161
2018-05-01,202247.71511902474,136294.74703426243
2018-08-01,204443.70042827353,136521.31580012286
2018-09-01,203085.71408282634,136699.19372980404
2018-10-01,203001.80393392174,136547.15319894906
2018-11-01,203881.37248899147,137507.5776458728
2018-12-01,205317.08649329405,138435.6991708417
2018-01-16,204633.6058476898,137947.78428039278
2018-06-02,207966.96531179704,133909.34621201904
2018-07-02,207734.34833690393,133239.5867507945
2019-02-01,218959.1152650199,124712.07191467489
2019-03-01,209232.00208439847,121624.60880862307
2019-04-01,220005.63245470318,125800.67662833117
2019-07-01,226606.09107302123,126682.5940758955
2019-08-01,228354.92023121327,127910.81794790586
2019-09-01,230108.2783354837,128435.0023020331
2019-10-01,230352.36484664737,129015.3254466621
2019-11-01,231842.54072474054,128996.45077366305
2019-01-14,230377.68932257104,128318.24865460613
2019-05-02,254580.0548210946,136023.9635483317
2019-06-02,254513.99034644396,135721.38666514607
2019-12-02,255996.6794569433,136373.2539839364
2020-02-01,457599.7775887873,161867.8784774836
2020-03-01,453817.90156186384,160725.11220740026
2020-06-01,459222.3234145924,161293.01392984285
2020-07-01,460054.8370519083,160840.87115131735
2020-08-01,462487.2319072247,161629.38569087718
2020-09-01,471944.072797756,162705.07168027764
2020-10-01,470031.8242479892,162240.51965251076
2020-01-13,479241.77662016277,163372.34443241297
2020-04-02,511739.3465162547,163842.3793533727
2020-05-02,506325.4364865387,165685.70372874013
2020-11-02,523435.0491758073,166831.4540596676
2020-12-02,546701.3015910266,167909.62675815722
2021-04-01,990848.6413375679,183868.60371273215
2021-05-01,1009019.3642359455,185170.87059125258
2021-06-01,991580.4078579658,186228.16718583484
2021-07-01,1047362.1418256044,188993.17195861804
2021-08-01,1068006.2925691048,190031.0965284463
2021-11-01,1061112.2885690907,188785.4899890162
2021-12-01,1066870.7540647886,188863.9848154306
2021-01-13,1069386.972610759,189293.77160772897
2021-02-02,1091214.661862351,190112.09018720943
2021-03-02,1081868.0698804692,190303.8693717113
2021-09-02,1211536.6618605482,194331.37807316345
2021-10-02,1228687.3012139103,194264.29784216604
